order_id,order_date,region,category,product_name,customer_segment,payment_mode,units_sold,unit_price,revenue,month,quarter
ORD10847,2025-07-07,East,Beauty,Shampoo 340Ml,Online,Net Banking,12.0,890.76,10689.12,2025-07,2025Q3
ORD10827,2025-08-02,North,Electronics,Bluetooth Speaker,Wholesale,Cash,12.0,2833.95,34007.4,2025-08,2025Q3
ORD10514,2025-08-01,East,Beauty,Face Wash,Unknown,Unknown,22.0,656.065,14433.43,2025-08,2025Q3
ORD10725,2025-05-02,East,Grocery,Cooking Oil 1L,Wholesale,Debit Card,18.0,281.13,5060.34,2025-05,2025Q2
ORD10478,2025-02-01,North,Grocery,Cooking Oil 1L,Online,Debit Card,35.0,128.91,4511.85,2025-02,2025Q1
ORD10531,2025-07-01,East,Fashion,Formal Shirt,Online,Credit Card,31.0,1646.65,51046.15,2025-07,2025Q3
ORD10412,2025-11-18,Central,Home & Kitchen,Electric Kettle,Online,Cash,34.0,1130.61,38440.74,2025-11,2025Q4
ORD10088,2025-10-15,South,Home & Kitchen,Led Lamp,Wholesale,Credit Card,3.0,1752.43,5257.29,2025-10,2025Q4
ORD10972,2025-05-26,North,Electronics,Smart Watch,Retail,Debit Card,31.0,2694.17,83519.27,2025-05,2025Q2
ORD10481,2025-12-02,East,Beauty,Shampoo 340Ml,Online,Debit Card,10.0,999.23,9992.3,2025-12,2025Q4
ORD10033,2025-12-04,Central,Home & Kitchen,Mixer Grinder,Retail,Cash,33.0,447.0,14751.0,2025-12,2025Q4
ORD11006,2025-12-28,East,Beauty,Face Wash,Wholesale,Net Banking,20.0,1158.23,23164.6,2025-12,2025Q4
ORD10588,2025-12-05,North,Grocery,Green Tea Pack,Wholesale,Debit Card,38.0,350.61,13323.18,2025-12,2025Q4
ORD11039,2025-07-22,South,Electronics,Wireless Earbuds,Wholesale,Credit Card,6.0,4128.52,24771.12,2025-07,2025Q3
ORD10406,2025-07-13,North,Electronics,Smart Watch,Wholesale,Debit Card,19.0,1542.41,29305.79,2025-07,2025Q3
ORD10859,2025-08-07,Central,Beauty,Shampoo 340Ml,Wholesale,Cash,24.0,1152.4,27657.6,2025-08,2025Q3
ORD10399,2025-06-22,East,Grocery,Spice Combo,Online,Cash,5.0,739.48,3697.4,2025-06,2025Q2
ORD10105,2025-03-08,South,Electronics,Usb-C Cable,Online,Cash,22.0,2971.31,65368.82,2025-03,2025Q1
ORD10512,2025-07-15,East,Grocery,Atta 10Kg,Wholesale,Upi,21.0,699.17,14682.57,2025-07,2025Q3
ORD10610,2025-01-26,West,Beauty,Sunscreen Spf50,Wholesale,Debit Card,18.0,498.72,8976.96,2025-01,2025Q1
ORD10394,2025-02-20,Central,Home & Kitchen,Non-Stick Pan,Wholesale,Cash,21.0,2912.69,61166.49,2025-02,2025Q1
ORD10196,2025-07-14,West,Electronics,Power Bank,Retail,Net Banking,16.0,3972.23,63555.68,2025-07,2025Q3
ORD11031,2025-07-14,East,Home & Kitchen,Non-Stick Pan,Retail,Net Banking,36.0,2883.46,103804.56,2025-07,2025Q3
ORD10222,2025-08-17,West,Beauty,Face Wash,Retail,Debit Card,10.0,227.17,2271.7,2025-08,2025Q3
ORD10012,2025-10-16,South,Fashion,Backpack,Online,Credit Card,28.0,1939.9,54317.2,2025-10,2025Q4
ORD10411,2025-01-16,South,Home & Kitchen,Non-Stick Pan,Wholesale,Cash,16.0,1643.48,26295.68,2025-01,2025Q1
ORD11167,2025-01-23,West,Beauty,Shampoo 340Ml,Online,Cash,3.0,1169.2,3507.6,2025-01,2025Q1
ORD10152,2025-02-03,North,Electronics,Usb-C Cable,Wholesale,Credit Card,12.0,1563.76,18765.12,2025-02,2025Q1
ORD10429,2025-06-22,North,Beauty,Sunscreen Spf50,Online,Cash,18.0,923.95,16631.1,2025-06,2025Q2
ORD11158,2025-02-12,Central,Fashion,Running Shoes,Wholesale,Upi,35.0,1242.96,43503.6,2025-02,2025Q1
ORD10187,2025-06-09,South,Fashion,Backpack,Wholesale,Net Banking,29.0,791.51,22953.79,2025-06,2025Q2
ORD10686,2025-03-09,West,Fashion,Denim Jeans,Retail,Credit Card,29.0,429.41,12452.89,2025-03,2025Q1
ORD10614,2025-08-27,West,Grocery,Green Tea Pack,Wholesale,Cash,26.0,251.2,6531.2,2025-08,2025Q3
ORD10470,2025-01-30,East,Beauty,Face Wash,Online,Upi,36.0,1184.1,42627.6,2025-01,2025Q1
ORD10603,2025-03-14,North,Fashion,Denim Jeans,Unknown,Unknown,28.0,1105.165,30944.62,2025-03,2025Q1
ORD10178,2025-08-04,Central,Fashion,Running Shoes,Retail,Upi,9.0,2000.35,18003.15,2025-08,2025Q3
ORD10208,2025-11-01,East,Fashion,Backpack,Online,Upi,6.0,1471.55,8829.3,2025-11,2025Q4
ORD10229,2025-08-04,South,Fashion,Running Shoes,Retail,Credit Card,29.0,1949.04,56522.16,2025-08,2025Q3
ORD10015,2025-01-05,North,Home & Kitchen,Mixer Grinder,Online,Credit Card,13.0,924.47,12018.11,2025-01,2025Q1
ORD11176,2025-08-15,Central,Fashion,Cotton T-Shirt,Online,Cash,3.0,1068.94,3206.82,2025-08,2025Q3
ORD10405,2025-07-08,East,Home & Kitchen,Storage Rack,Online,Credit Card,21.0,1332.66,27985.86,2025-07,2025Q3
ORD10292,2025-08-16,East,Fashion,Formal Shirt,Online,Debit Card,28.0,974.2,27277.6,2025-08,2025Q3
ORD10071,2025-08-05,West,Beauty,Lip Balm,Wholesale,Cash,31.0,655.75,20328.25,2025-08,2025Q3
ORD11090,2025-04-20,West,Fashion,Formal Shirt,Online,Cash,38.0,1082.7,41142.6,2025-04,2025Q2
ORD10434,2025-07-07,West,Home & Kitchen,Non-Stick Pan,Online,Cash,16.0,2409.6,38553.6,2025-07,2025Q3
ORD10510,2025-08-30,Central,Electronics,Wireless Earbuds,Retail,Net Banking,10.0,4287.37,42873.7,2025-08,2025Q3
ORD10462,2025-11-08,East,Fashion,Backpack,Wholesale,Debit Card,19.0,573.25,10891.75,2025-11,2025Q4
